Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
11664965,0000019E,false,Rx,1,8,00,E8,5F,FC,FF,BC,FF,A1,
11666367,000000A9,false,Rx,0,8,DC,1C,D6,0F,3E,D6,0F,0D,
11668355,000000AA,false,Rx,0,8,0B,8C,03,11,1C,0F,94,00,
11671456,000001B6,false,Rx,0,8,FF,FF,00,00,0E,A8,19,00,
11674395,000000A8,false,Rx,0,8,5D,ED,02,C0,02,F0,0F,02,
11674517,000001A0,false,Rx,1,8,5C,B0,00,00,80,00,E8,18,
11674991,000000CE,false,Rx,1,8,94,00,95,00,93,00,94,00,
11675212,000001B4,false,Rx,1,8,66,D0,E6,F5,0F,FF,80,59,
11676332,000000A9,false,Rx,0,8,EF,1D,D7,1F,3E,D7,0F,0D,
11678343,000000AA,false,Rx,0,8,EA,6D,03,10,1C,0F,94,00,
11684391,000000A8,false,Rx,0,8,5E,DE,02,D0,02,F0,0F,02,
11684462,000000B6,false,Rx,1,5,0E,0E,80,00,C8,00,00,00,
11684926,0000019E,false,Rx,1,8,00,E8,5F,FC,FF,BC,FF,A1,
11686338,000000A9,false,Rx,0,8,00,1E,D7,1F,3E,D7,1F,0D,
11686812,000001FB,false,Rx,1,2,F5,FF,00,00,00,00,00,00,
11688353,000000AA,false,Rx,0,8,FB,6E,03,10,2C,0F,94,00,
11694392,000000A8,false,Rx,0,8,FF,D0,02,80,02,F0,0F,02,
11694504,000001A6,false,Rx,1,8,D4,02,F2,02,F0,02,10,F9,
11694978,000000CE,false,Rx,1,8,94,00,96,00,94,00,94,00,
11695240,000001A0,false,Rx,1,8,5C,B0,E9,0F,80,00,08,30,
11696327,000000A9,false,Rx,0,8,F2,10,D7,1F,3E,D7,1F,0D,
11697136,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
11698347,000000AA,false,Rx,0,8,B5,10,03,10,44,0F,94,00,
11704398,000000A8,false,Rx,0,8,D0,91,02,90,02,F0,0F,02,
11704479,000000B6,false,Rx,1,5,FF,00,80,00,C8,00,00,00,
11704943,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11706324,000000A9,false,Rx,0,8,F3,11,D7,1F,3E,D7,1F,0D,
11708343,000000AA,false,Rx,0,8,B6,11,03,10,44,0F,94,00,
11714391,000000A8,false,Rx,0,8,B1,82,02,80,02,F0,0F,02,
11714503,000001A0,false,Rx,1,8,5D,B0,2E,00,80,00,18,76,
11714977,000000CE,false,Rx,1,8,96,00,95,00,94,00,96,00,
11716338,000000A9,false,Rx,0,8,05,12,D7,1F,3E,D7,2F,0D,
11718249,00000130,false,Rx,1,5,45,41,21,8F,02,00,00,00,
11718330,000000AA,false,Rx,0,8,CB,12,03,10,58,0F,94,00,
11724473,000000B6,false,Rx,1,5,00,01,80,00,C8,00,00,00,
11724514,000000A8,false,Rx,0,8,B2,83,02,80,02,F0,0F,02,
11724723,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11726319,000000A9,false,Rx,0,8,06,13,D7,1F,3E,D7,2F,0D,
11728328,000000AA,false,Rx,0,8,D8,13,03,10,64,0F,94,00,
11734375,000000A8,false,Rx,0,8,C3,94,02,80,02,F0,0F,02,
11734477,000001A0,false,Rx,1,8,5D,B0,0F,00,80,00,28,67,
11734951,000000CE,false,Rx,1,8,95,00,96,00,94,00,96,00,
11735455,00000482,false,Rx,1,8,12,42,FE,01,FF,FF,FF,FF,
11736320,000000A9,false,Rx,0,8,07,14,D7,1F,3E,D7,2F,0D,
11738322,000000AA,false,Rx,0,8,D8,14,03,0F,64,0F,94,00,
11744371,000000A8,false,Rx,0,8,F4,A5,02,A0,02,F0,0F,02,
11744422,000000B6,false,Rx,1,5,02,02,80,00,C8,00,00,00,
11744896,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11746307,000000A9,false,Rx,0,8,08,15,D7,1F,3E,D7,2F,0D,
11746526,000001D0,false,Rx,0,8,60,FF,6A,D2,BA,62,CC,A4,
11748317,000000AA,false,Rx,0,8,E1,15,03,0F,6C,0F,94,00,
11754357,000000A8,false,Rx,0,8,A5,A6,02,50,02,F0,0F,02,
11754469,000001A0,false,Rx,1,8,5D,B0,00,00,80,00,38,68,
11754933,000000CE,false,Rx,1,8,91,00,98,00,94,00,96,00,
11756294,000000A9,false,Rx,0,8,09,16,D7,1F,3E,D7,2F,0D,
11758313,000000AA,false,Rx,0,8,9E,C6,02,0F,78,0F,94,00,
11764350,000000A8,false,Rx,0,8,B6,87,02,80,02,F0,0F,02,
11764412,000000B6,false,Rx,1,5,03,03,80,00,C8,00,00,00,
11764885,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11766297,000000A9,false,Rx,0,8,0A,17,D7,1F,3E,D7,2F,0D,
11768316,000000AA,false,Rx,0,8,9E,C7,02,0E,78,0F,94,00,
11774151,000001B4,false,Rx,1,8,6B,D0,E6,F6,0F,FF,80,5F,
11774361,000000A8,false,Rx,0,8,77,98,02,30,02,F0,0F,02,
11774459,000001A0,false,Rx,1,8,5D,B0,36,00,80,00,48,AE,
11774936,000000CE,false,Rx,1,8,90,00,99,00,94,00,97,00,
11776298,000000A9,false,Rx,0,8,1B,18,D7,1F,3E,D7,3F,0D,
11778304,000000AA,false,Rx,0,8,4C,68,02,0F,84,0F,94,00,
11783214,000003B0,false,Rx,1,2,FD,FF,00,00,00,00,00,00,
11784346,000000A8,false,Rx,0,8,78,99,02,30,02,F0,0F,02,
11784431,000000B6,false,Rx,1,5,04,04,80,00,C8,00,00,00,
11784905,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11786296,000000A9,false,Rx,0,8,1C,19,D7,1F,3E,D7,3F,0D,
11788301,000000AA,false,Rx,0,8,4B,69,02,0D,84,0F,94,00,
11792463,000003EF,false,Rx,0,2,05,51,00,00,00,00,00,00,
11794355,000000A8,false,Rx,0,8,59,7A,02,30,02,F0,0F,02,
11794450,000001A6,false,Rx,1,8,E0,02,FD,02,FC,02,A0,FA,
11794923,000000CE,false,Rx,1,8,93,00,99,00,93,00,98,00,
11795185,000001A0,false,Rx,1,8,5D,B0,1F,00,80,00,58,A7,
11796302,000000A9,false,Rx,0,8,1D,1A,D7,1F,3E,D7,3F,0D,
11798301,000000AA,false,Rx,0,8,0C,2A,02,0D,84,0F,94,00,
11801403,000002F6,false,Rx,1,2,00,F5,00,00,00,00,00,00,
11804156,00000330,false,Rx,1,8,10,32,02,07,08,00,ED,07,
11804336,000000A8,false,Rx,0,8,AA,7B,02,80,02,F0,0F,02,
11804373,000000B6,false,Rx,1,5,05,05,80,00,C8,00,00,00,
11804850,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11806282,000000A9,false,Rx,0,8,1E,1B,D7,1F,3E,D7,3F,0D,
11808306,000000AA,false,Rx,0,8,09,2B,02,0D,80,0F,94,00,
11814335,000000A8,false,Rx,0,8,5B,7C,02,30,02,F0,0F,02,
11814476,000001A0,false,Rx,1,8,5E,B0,00,00,80,00,68,99,
11814952,000000CE,false,Rx,1,8,96,00,99,00,94,00,98,00,
11816282,000000A9,false,Rx,0,8,1F,1C,D7,1F,3E,D7,3F,0D,
11818291,00000130,false,Rx,1,5,45,41,21,8F,13,00,00,00,
11818325,000000AA,false,Rx,0,8,C1,DC,01,0D,88,0F,94,00,
11824327,000000A8,false,Rx,0,8,5C,5D,02,50,02,F0,0F,02,
11824399,000000B6,false,Rx,1,5,06,06,80,00,C8,00,00,00,
11824873,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11826274,000000A9,false,Rx,0,8,20,1D,D7,1F,3E,D7,3F,0D,
11827716,00000492,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
11828392,000000AA,false,Rx,0,8,C1,DD,01,0C,88,0F,94,00,
11833527,000001B6,false,Rx,0,8,FF,FF,00,00,0E,A8,12,00,
11834340,000000A8,false,Rx,0,8,FC,2E,02,20,02,F0,0F,02,
11834425,000001A0,false,Rx,1,8,5E,B0,E1,0F,80,00,78,9A,
11834901,000000CE,false,Rx,1,8,97,00,97,00,93,00,99,00,
11836271,000000A9,false,Rx,0,8,21,1E,D7,1F,3E,D7,3F,0D,
11838276,000000AA,false,Rx,0,8,7A,8E,01,0C,90,0F,94,00,
11844328,000000A8,false,Rx,0,8,EE,20,02,20,02,F0,0F,02,
11844379,000000B6,false,Rx,1,5,07,07,80,00,C8,00,00,00,
11844843,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11846254,000000A9,false,Rx,0,8,13,10,D7,1F,3E,D7,3F,0D,
11847606,000001D0,false,Rx,0,8,60,FF,6A,D2,D4,62,CC,A4,
11848271,000000AA,false,Rx,0,8,6D,80,01,0D,90,0F,94,00,
11850573,000001B5,false,Rx,1,7,00,FF,FF,CF,F8,FF,00,00,
11854322,000000A8,false,Rx,0,8,60,31,02,80,02,F0,0F,02,
11854414,000001A0,false,Rx,1,8,5E,B0,17,00,80,00,88,D0,
11854890,000000CE,false,Rx,1,8,96,00,97,00,94,00,99,00,
11856270,000000A9,false,Rx,0,8,14,11,D7,1F,3E,D7,3F,0D,
11858369,000000AA,false,Rx,0,8,BD,D1,01,0C,90,0F,94,00,
11861665,00000194,false,Rx,1,4,FB,FB,FF,FF,00,00,00,00,
11864308,000000A8,false,Rx,0,8,A1,72,02,80,02,F0,0F,02,
11864343,000000B6,false,Rx,1,5,08,08,80,00,C8,00,00,00,
11864814,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11866276,000000A9,false,Rx,0,8,15,12,D7,1F,3E,D7,3F,0D,
11868273,000000AA,false,Rx,0,8,BB,D2,01,0D,8C,0F,94,00,
11874005,000001B4,false,Rx,1,8,6E,D0,E6,F7,0F,FF,80,63,
11874395,000001A0,false,Rx,1,8,5E,B0,07,00,80,00,98,D0,
11874497,000000A8,false,Rx,0,8,72,63,02,60,02,F0,0F,02,
11874635,000000CE,false,Rx,1,8,96,00,9D,00,96,00,99,00,
11876255,000000A9,false,Rx,0,8,E1,13,D5,0F,3E,D5,1F,0D,
11878260,000000AA,false,Rx,0,8,A4,C3,01,0D,84,0F,94,00,
11884299,000000A8,false,Rx,0,8,D3,94,02,90,02,F0,0F,02,
11884350,000000B6,false,Rx,1,5,09,09,80,00,C8,00,00,00,
11884815,0000019E,false,Rx,1,8,00,E8,6F,FC,FF,BC,FF,B1,
11886246,000000A9,false,Rx,0,8,E2,14,D5,0F,3E,D5,1F,0D,
11886892,000001FB,false,Rx,1,2,F6,FF,00,00,00,00,00,00,
11888261,000000AA,false,Rx,0,8,A5,C4,01,0D,84,0F,94,00,
11894311,000000A8,false,Rx,0,8,F4,A5,02,A0,02,F0,0F,02,
11894392,000001A6,false,Rx,1,8,EB,02,09,03,08,03,30,FC,
11894868,000000CE,false,Rx,1,8,95,00,9F,00,95,00,98,00,
11895129,000001A0,false,Rx,1,8,5E,B0,75,00,80,00,A8,4F,
11896246,000000A9,false,Rx,0,8,E3,15,D5,0F,3E,D5,1F,0D,
11896500,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
11898246,000000AA,false,Rx,0,8,A2,C5,01,0D,80,0F,94,00,
11904286,000000A8,false,Rx,0,8,F5,A6,02,A0,02,F0,0F,02,
11904337,000000B6,false,Rx,1,5,0A,0A,80,00,C8,00,00,00,
11904802,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
11906232,000000A9,false,Rx,0,8,E4,16,D5,0F,3E,D5,1F,0D,
11908251,000000AA,false,Rx,0,8,A7,C6,01,0D,84,0F,94,00,
11912471,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,1C,00,
11914303,000000A8,false,Rx,0,8,D6,97,02,90,02,F0,0F,02,
11914358,000001A0,false,Rx,1,8,5E,B0,65,00,80,00,B8,4F,
11914832,000000CE,false,Rx,1,8,95,00,9D,00,93,00,9C,00,
11916233,000000A9,false,Rx,0,8,E5,17,D5,0F,3E,D5,1F,0D,
11918238,000000AA,false,Rx,0,8,A8,C7,01,0D,84,0F,94,00,
11918266,00000130,false,Rx,1,5,45,41,21,8F,24,00,00,00,
11924285,000000A8,false,Rx,0,8,B7,88,02,80,02,F0,0F,02,
11924356,000000B6,false,Rx,1,5,0B,0B,80,00,C8,00,00,00,
11924831,000004A9,false,Rx,1,8,30,42,FF,FF,FF,FF,FF,FF,
11925091,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
11926219,000000A9,false,Rx,0,8,E6,18,D5,0F,3E,D5,1F,0D,
11928241,000000AA,false,Rx,0,8,B1,C8,01,0D,8C,0F,94,00,
11934279,000000A8,false,Rx,0,8,B8,89,02,80,02,F0,0F,02,
11934361,000001A0,false,Rx,1,8,5F,B0,E1,0F,80,00,C8,EB,
11934837,000000CE,false,Rx,1,8,96,00,9C,00,95,00,9B,00,
11936217,000000A9,false,Rx,0,8,F7,19,D5,0F,3E,D5,2F,0D,
11938236,000000AA,false,Rx,0,8,C6,C9,01,0D,A0,0F,94,00,
11944291,000000A8,false,Rx,0,8,49,4A,02,50,02,F0,0F,02,
11944320,000000B6,false,Rx,1,5,0C,0C,80,00,C8,00,00,00,
11944793,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
11946213,000000A9,false,Rx,0,8,F8,1A,D5,0F,3E,D5,2F,0D,
11946451,000001D0,false,Rx,0,8,60,FF,6B,D2,EF,62,CC,A4,
11948237,000000AA,false,Rx,0,8,C7,CA,01,0D,A0,0F,94,00,
11954287,000000A8,false,Rx,0,8,F9,2B,02,20,02,F0,0F,02,
11954349,000001A0,false,Rx,1,8,5F,B0,E1,0F,80,00,D8,FB,
11954825,000000CE,false,Rx,1,8,97,00,9D,00,95,00,9D,00,
11956226,000000A9,false,Rx,0,8,F9,1B,D5,0F,3E,D5,2F,0D,
11958226,000000AA,false,Rx,0,8,DB,CB,01,0C,B4,0F,94,00,
11964270,000000A8,false,Rx,0,8,FA,2C,02,20,02,F0,0F,02,
11964299,000000B6,false,Rx,1,5,0D,0D,80,00,C8,00,00,00,
11964762,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
11966234,000000A9,false,Rx,0,8,FA,1C,D5,0F,3E,D5,2F,0D,
11968219,000000AA,false,Rx,0,8,E8,CC,01,0C,C0,0F,94,00,
11974167,000001B4,false,Rx,1,8,6A,D0,E6,F8,0F,FF,80,60,
11974276,000000A8,false,Rx,0,8,9B,2D,02,C0,01,F0,0F,02,
11974393,000001A0,false,Rx,1,8,5F,B0,E9,0F,80,00,E8,14,
11974883,000000CE,false,Rx,1,8,97,00,9D,00,94,00,9E,00,
11976213,000000A9,false,Rx,0,8,FD,1D,D6,0F,3E,D6,2F,0D,
11978324,000000AA,false,Rx,0,8,89,6D,01,0C,C0,0F,94,00,
11984258,000000A8,false,Rx,0,8,5C,DE,01,D0,01,F0,0F,02,
11984287,000000B6,false,Rx,1,5,0E,0E,80,00,C8,00,00,00,
11984760,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
11986202,000000A9,false,Rx,0,8,FE,1E,D6,0F,3E,D6,2F,0D,
11988217,000000AA,false,Rx,0,8,99,6E,01,0B,D0,0F,94,00,
11991399,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,15,00,
11994257,000000A8,false,Rx,0,8,FD,D0,01,80,01,F0,0F,02,
11994318,000001A6,false,Rx,1,8,F7,02,15,03,15,03,C0,FD,
11994794,000000CE,false,Rx,1,8,97,00,9D,00,95,00,9F,00,
11995054,000001A0,false,Rx,1,8,60,B0,0F,00,80,00,08,4A,
11996194,000000A9,false,Rx,0,8,F0,10,D6,0F,3E,D6,2F,0D,
11998203,000000AA,false,Rx,0,8,57,20,01,0B,DC,0F,94,00,
12004258,000000A8,false,Rx,0,8,CE,91,01,90,01,F0,0F,02,
12004287,000000B6,false,Rx,1,5,FF,00,80,00,C8,00,00,00,
12004750,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
12006191,000000A9,false,Rx,0,8,F1,11,D6,0F,3E,D6,2F,0D,
12008207,000000AA,false,Rx,0,8,58,21,01,0B,DC,0F,94,00,
12014255,000000A8,false,Rx,0,8,CF,92,01,90,01,F0,0F,02,
12014316,000001A0,false,Rx,1,8,60,B0,17,00,80,00,18,62,
12014792,000000CE,false,Rx,1,8,98,00,9D,00,96,00,9E,00,
12016193,000000A9,false,Rx,0,8,F2,12,D6,0F,3E,D6,2F,0D,
12018201,000000AA,false,Rx,0,8,51,12,01,0B,E4,0F,94,00,
12018286,00000130,false,Rx,1,5,45,41,21,8F,35,00,00,00,
12024287,000000B6,false,Rx,1,5,00,01,80,00,C8,00,00,00,
12024344,000000A8,false,Rx,0,8,D0,93,01,90,01,F0,0F,02,
12024544,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
12026181,000000A9,false,Rx,0,8,F3,13,D6,0F,3E,D6,2F,0D,
12026675,000004B0,false,Rx,1,8,00,42,FD,FF,FF,FF,FF,FF,
12028197,000000AA,false,Rx,0,8,4E,13,01,0B,E0,0F,94,00,
12034319,000001A0,false,Rx,1,8,60,B0,00,00,80,00,28,5B,
12034367,000000A8,false,Rx,0,8,12,B4,01,B0,01,F0,0F,02,
12034555,000000CE,false,Rx,1,8,97,00,9D,00,96,00,9E,00,
12036196,000000A9,false,Rx,0,8,F4,14,D6,0F,3E,D6,2F,0D,
12038194,000000AA,false,Rx,0,8,5F,24,01,0B,E0,0F,94,00,
12044241,000000B6,false,Rx,1,5,02,02,80,00,C8,00,00,00,
12044282,000000A8,false,Rx,0,8,63,D5,01,E0,01,F0,0F,02,
12044491,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
12046179,000000A9,false,Rx,0,8,F5,15,D6,0F,3E,D6,2F,0D,
12046561,000001D0,false,Rx,0,8,60,FF,6B,D2,07,63,CC,A4,
12048186,000000AA,false,Rx,0,8,58,25,01,0B,D8,0F,94,00,
12054225,000000A8,false,Rx,0,8,74,E6,01,E0,01,F0,0F,02,
12054296,000001A0,false,Rx,1,8,61,B0,00,00,80,00,38,6C,
12054772,000000CE,false,Rx,1,8,97,00,9E,00,97,00,9F,00,
12056163,000000A9,false,Rx,0,8,F6,16,D6,0F,3E,D6,2F,0D,
12058171,000000AA,false,Rx,0,8,5D,26,01,0B,DC,0F,94,00,
12061670,00000194,false,Rx,1,4,FC,FC,FF,FF,00,00,00,00,
12064226,000000A8,false,Rx,0,8,55,D7,01,D0,01,F0,0F,02,
12064254,000000B6,false,Rx,1,5,03,03,80,00,C8,00,00,00,
12064717,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
12066189,000000A9,false,Rx,0,8,F7,17,D6,0F,3E,D6,2F,0D,
12068184,000000AA,false,Rx,0,8,5F,27,01,0C,DC,0F,94,00,
12073206,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,19,00,
12073360,00000308,false,Rx,0,3,79,D6,F2,00,00,00,00,00,
12074089,000001B4,false,Rx,1,8,6C,D0,E6,F9,0F,FF,80,63,
12074232,000000A8,false,Rx,0,8,A6,D8,01,20,02,F0,0F,02,
12074310,000001A0,false,Rx,1,8,61,B0,1F,00,80,00,48,9B,
12074789,000000CE,false,Rx,1,8,99,00,9E,00,97,00,A0,00,
12076174,000000A9,false,Rx,0,8,F8,18,D6,0F,3E,D6,2F,0D,
12078178,000000AA,false,Rx,0,8,A0,68,01,0C,DC,0F,94,00,
12084217,000000A8,false,Rx,0,8,F7,29,02,20,02,F0,0F,02,
12084246,000000B6,false,Rx,1,5,04,04,80,00,C8,00,00,00,
12084471,0000019E,false,Rx,1,8,00,E8,7F,FC,FF,BC,FF,C1,
12086158,000000A9,false,Rx,0,8,F9,19,D6,0F,3E,D6,2F,0D,
12086761,000001FB,false,Rx,1,2,F7,FF,00,00,00,00,00,00,
12088171,000000AA,false,Rx,0,8,98,69,01,0B,D4,0F,94,00,
12094220,000000A8,false,Rx,0,8,B8,2A,02,E0,01,F0,0F,02,
12094271,000001A6,false,Rx,1,8,03,03,21,03,21,03,50,FF,
12094747,000000CE,false,Rx,1,8,99,00,9F,00,98,00,9F,00,
12094996,000001A0,false,Rx,1,8,61,B0,07,00,80,00,58,93,
12096156,000000A9,false,Rx,0,8,FA,1A,D6,0F,3E,D6,2F,0D,
12096560,00000200,false,Rx,0,8,42,81,FC,00,00,00,00,00,
12098164,000000AA,false,Rx,0,8,5A,2A,01,0C,D4,0F,94,00,
12104211,000000A8,false,Rx,0,8,C9,0B,02,10,02,F0,0F,02,
12104240,000000B6,false,Rx,1,5,05,05,80,00,C8,00,00,00,
12104466,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12106153,000000A9,false,Rx,0,8,FB,1B,D6,0F,3E,D6,2F,0D,
12108168,000000AA,false,Rx,0,8,57,2B,01,0C,D0,0F,94,00,
12114216,000000A8,false,Rx,0,8,BA,0C,02,00,02,F0,0F,02,
12114251,000001A0,false,Rx,1,8,61,B0,07,00,80,00,68,A3,
12114725,000000CE,false,Rx,1,8,98,00,A0,00,97,00,A0,00,
12116147,000000A9,false,Rx,0,8,FC,1C,D6,0F,3E,D6,2F,0D,
12118152,000000AA,false,Rx,0,8,B3,7C,01,0B,DC,0F,94,00,
12118238,00000130,false,Rx,1,5,45,41,21,8F,46,00,00,00,
12124206,000000A8,false,Rx,0,8,BB,0D,02,00,02,F0,0F,02,
12124235,000000B6,false,Rx,1,5,06,06,80,00,C8,00,00,00,
12124708,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12125877,00000480,false,Rx,1,8,02,42,FD,01,FF,FF,FF,FF,
12126377,000000A9,false,Rx,0,8,FD,1D,D6,0F,3E,D6,2F,0D,
12128163,000000AA,false,Rx,0,8,C4,7D,01,0B,EC,0F,94,00,
12134203,000000A8,false,Rx,0,8,1C,DE,01,90,01,F0,0F,02,
12134255,000001A0,false,Rx,1,8,61,B0,07,00,80,00,78,B3,
12134720,000000CE,false,Rx,1,8,99,00,A0,00,96,00,9F,00,
12136144,000000A9,false,Rx,0,8,FE,1E,D6,0F,3E,D6,2F,0D,
12138141,000000AA,false,Rx,0,8,65,1E,01,0B,EC,0F,94,00,
12144207,000000A8,false,Rx,0,8,FD,A0,01,B0,01,F0,0F,02,
12144235,000000B6,false,Rx,1,5,07,07,80,00,C8,00,00,00,
12144462,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12146127,000000A9,false,Rx,0,8,F0,10,D6,0F,3E,D6,2F,0D,
12146407,000001D0,false,Rx,0,8,60,FF,6C,D2,20,63,CC,A4,
12148152,000000AA,false,Rx,0,8,5B,10,01,0B,F0,0F,94,00,
12154183,000000A8,false,Rx,0,8,EE,A1,01,A0,01,F0,0F,02,
12154235,000001A0,false,Rx,1,8,61,B0,00,00,80,00,88,BC,
12154700,000000CE,false,Rx,1,8,99,00,A0,00,98,00,A0,00,
12156121,000000A9,false,Rx,0,8,F1,11,D6,0F,3E,D6,2F,0D,
12158150,000000AA,false,Rx,0,8,64,11,01,0B,F8,0F,94,00,
12164176,000000A8,false,Rx,0,8,DF,92,01,A0,01,F0,0F,02,
12164204,000000B6,false,Rx,1,5,08,08,80,00,C8,00,00,00,
12164430,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12166137,000000A9,false,Rx,0,8,E2,12,D6,0F,3E,D6,1F,0D,
12168142,000000AA,false,Rx,0,8,67,12,01,0D,F8,0F,94,00,
12174058,000001B4,false,Rx,1,8,6E,D0,E6,FA,0F,FF,80,66,
12174189,000000A8,false,Rx,0,8,51,D3,01,D0,01,F0,0F,02,
12174276,000001A0,false,Rx,1,8,61,B0,17,00,80,00,98,E3,
12174765,000000CE,false,Rx,1,8,99,00,A0,00,97,00,A0,00,
12176125,000000A9,false,Rx,0,8,E1,13,D5,0F,3E,D5,1F,0D,
12178123,000000AA,false,Rx,0,8,DF,83,01,0C,00,10,94,00,
12184172,000000A8,false,Rx,0,8,52,D4,01,D0,01,F0,0F,02,
12184200,000000B6,false,Rx,1,5,09,09,80,00,C8,00,00,00,
12184416,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12186112,000000A9,false,Rx,0,8,E2,14,D5,0F,3E,D5,1F,0D,
12188117,000000AA,false,Rx,0,8,E8,84,01,0C,08,10,94,00,
12193131,000001B6,false,Rx,0,8,FF,FF,00,00,0F,A8,15,00,
12194182,000000A8,false,Rx,0,8,F2,C5,01,80,01,F0,0F,02,
12194211,000001A6,false,Rx,1,8,0F,03,2D,03,2E,03,E0,F0,
12194429,00000330,false,Rx,1,8,10,32,02,07,0C,00,ED,07,
12194907,000000CE,false,Rx,1,8,99,00,A1,00,97,00,9F,00,
12195169,000001A0,false,Rx,1,8,61,B0,F1,0F,80,00,A8,DD,
12196118,000000A9,false,Rx,0,8,E3,15,D5,0F,3E,D5,1F,0D,
12198113,000000AA,false,Rx,0,8,A9,45,01,0C,08,10,94,00,
12204165,000000B6,false,Rx,1,5,0A,0A,80,00,C8,00,00,00,
12204206,000000A8,false,Rx,0,8,F3,A6,01,A0,01,F0,0F,02,
12204416,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12206102,000000A9,false,Rx,0,8,E4,16,D5,0F,3E,D5,1F,0D,
12208120,000000AA,false,Rx,0,8,AA,46,01,0C,08,10,94,00,
12214158,000000A8,false,Rx,0,8,F4,A7,01,A0,01,F0,0F,02,
12214193,000001A0,false,Rx,1,8,61,B0,17,00,80,00,B8,04,
12214667,000000CE,false,Rx,1,8,99,00,A0,00,98,00,9F,00,
12215424,00000482,false,Rx,1,8,12,42,FE,01,FF,FF,FF,FF,
12216138,000000A9,false,Rx,0,8,E5,17,D5,0F,3E,D5,1F,0D,
12218104,000000AA,false,Rx,0,8,B0,47,01,0D,0C,10,94,00,
12218299,00000130,false,Rx,1,5,45,41,21,8F,57,00,00,00,
12224160,000000A8,false,Rx,0,8,F5,A8,01,A0,01,F0,0F,02,
12224189,000000B6,false,Rx,1,5,0B,0B,80,00,C8,00,00,00,
12224405,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12226090,000000A9,false,Rx,0,8,E6,18,D5,0F,3E,D5,1F,0D,
12228117,000000AA,false,Rx,0,8,B1,48,01,0D,0C,10,94,00,
12232590,000002F3,false,Rx,0,3,03,FC,F5,00,00,00,00,00,
12234176,000000A8,false,Rx,0,8,37,C9,01,C0,01,F0,0F,02,
12234205,000001A0,false,Rx,1,8,61,B0,F1,0F,80,00,C8,FD,
12234413,000000CE,false,Rx,1,8,99,00,A0,00,99,00,9F,00,
12236102,000000A9,false,Rx,0,8,E7,19,D5,0F,3E,D5,1F,0D,
12238106,000000AA,false,Rx,0,8,FA,89,01,0D,14,10,94,00,
12244121,000000B6,false,Rx,1,5,0C,0C,80,00,C8,00,00,00,
12244169,000000A8,false,Rx,0,8,38,CA,01,C0,01,F0,0F,02,
12244380,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
12246085,000000A9,false,Rx,0,8,E8,1A,D5,0F,3E,D5,1F,0D,
12247459,000001D0,false,Rx,0,8,60,FF,6C,D2,35,63,CC,A4,
12248093,000000AA,false,Rx,0,8,FF,8A,01,0D,18,10,94,00,
12254153,000000A8,false,Rx,0,8,79,CB,01,00,02,F0,0F,02,
12254204,000001A0,false,Rx,1,8,60,B0,F1,0F,80,00,D8,0D,
12254660,000000CE,false,Rx,1,8,99,00,A0,00,97,00,9E,00,
