Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
84428016,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
84429468,000000AA,false,Rx,0,8,6C,0B,02,00,24,0C,84,00,
84434513,00000130,false,Rx,1,5,45,41,61,8F,53,00,00,00,
84435514,000000A8,false,Rx,0,8,9B,FC,01,F0,01,F1,0F,02,
84437450,000000A9,false,Rx,0,8,9F,1C,D8,DF,3D,D8,FF,0B,
84437626,000001A0,false,Rx,1,8,00,80,00,00,80,00,68,0B,
84438110,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
84439462,000000AA,false,Rx,0,8,5D,FC,01,00,24,0C,84,00,
84445504,000000A8,false,Rx,0,8,9C,FD,01,F0,01,F1,0F,02,
131439,000000A9,false,Rx,0,8,A0,1D,D8,DF,3D,D8,FF,0B,
131534,000000B6,false,Rx,1,5,06,06,80,00,C8,00,00,00,
132006,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
133468,000000AA,false,Rx,0,8,5E,FD,01,00,24,0C,84,00,
139520,000000A8,false,Rx,0,8,7D,EE,01,E0,01,F1,0F,02,
141445,000000A9,false,Rx,0,8,A1,1E,D8,DF,3D,D8,FF,0B,
141597,000001A0,false,Rx,1,8,00,80,00,00,80,00,78,1B,
142071,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
143452,000000AA,false,Rx,0,8,63,FE,01,00,28,0C,84,00,
149505,000000A8,false,Rx,0,8,6F,E0,01,E0,01,F1,0F,02,
151429,000000A9,false,Rx,0,8,93,10,D8,DF,3D,D8,FF,0B,
151525,000000B6,false,Rx,1,5,07,07,80,00,C8,00,00,00,
151687,000001D0,false,Rx,0,8,5F,FF,6C,D2,9F,53,CD,9B,
152000,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
153455,000000AA,false,Rx,0,8,5D,F0,01,00,30,0C,84,00,
157769,000001B6,false,Rx,0,8,FF,FF,00,00,12,A8,19,00,
159491,000000A8,false,Rx,0,8,60,D1,01,E0,01,F1,0F,02,
161435,000000A9,false,Rx,0,8,94,11,D8,DF,3D,D8,FF,0B,
161601,000001A0,false,Rx,1,8,00,80,00,00,80,00,88,2B,
162075,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
163435,000000AA,false,Rx,0,8,4E,E1,01,00,30,0C,84,00,
169473,000000A8,false,Rx,0,8,61,D2,01,E0,01,F1,0F,02,
171437,000000A9,false,Rx,0,8,95,12,D8,DF,3D,D8,FF,0B,
171513,000000B6,false,Rx,1,5,08,08,80,00,C8,00,00,00,
171974,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
173267,000001B4,false,Rx,1,8,00,D0,E6,FA,0F,FF,82,F9,
173439,000000AA,false,Rx,0,8,5B,E2,01,00,3C,0C,84,00,
179484,000000A8,false,Rx,0,8,42,C3,01,D0,01,F1,0F,02,
181429,000000A9,false,Rx,0,8,A6,13,D8,DF,3D,D8,0F,0C,
181571,000001A0,false,Rx,1,8,00,80,00,00,80,00,98,3B,
182057,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
183438,000000AA,false,Rx,0,8,4C,D3,01,00,3C,0C,84,00,
189471,000000A8,false,Rx,0,8,43,C4,01,D0,01,F1,0F,02,
191504,000000B6,false,Rx,1,5,09,09,80,00,C8,00,00,00,
191544,000000A9,false,Rx,0,8,A7,14,D8,DF,3D,D8,0F,0C,
191754,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
193430,000000AA,false,Rx,0,8,41,D4,01,00,30,0C,84,00,
193934,00000492,false,Rx,0,8,29,42,FF,FF,FF,FF,FF,FF,
199485,000000A8,false,Rx,0,8,74,E5,01,E0,01,F1,0F,02,
201419,000000A9,false,Rx,0,8,A8,15,D8,DF,3D,D8,0F,0C,
201551,000001A6,false,Rx,1,8,DF,00,E7,00,E1,00,60,F5,
202027,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
202288,000001A0,false,Rx,1,8,00,80,00,00,80,00,A8,4B,
203425,000000AA,false,Rx,0,8,52,E5,01,00,30,0C,84,00,
209459,000000A8,false,Rx,0,8,75,E6,01,E0,01,F1,0F,02,
211404,000000A9,false,Rx,0,8,A9,16,D8,DF,3D,D8,0F,0C,
211489,000000B6,false,Rx,1,5,0A,0A,80,00,C8,00,00,00,
211951,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
213433,000000AA,false,Rx,0,8,47,E6,01,00,24,0C,84,00,
218569,00000130,false,Rx,1,5,45,41,61,8F,64,00,00,00,
219470,000000A8,false,Rx,0,8,96,F7,01,F0,01,F1,0F,02,
221404,000000A9,false,Rx,0,8,9A,17,D8,DF,3D,D8,FF,0B,
221570,000001A0,false,Rx,1,8,00,80,00,00,80,00,B8,5B,
222046,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
223416,000000AA,false,Rx,0,8,58,F7,01,00,24,0C,84,00,
229457,000000A8,false,Rx,0,8,97,F8,01,F0,01,F1,0F,02,
231402,000000A9,false,Rx,0,8,AB,18,D8,DF,3D,D8,0F,0C,
231477,000000B6,false,Rx,1,5,0B,0B,80,00,C8,00,00,00,
231938,0000019E,false,Rx,1,8,00,E8,8F,FC,FF,BC,FF,D1,
233410,000000AA,false,Rx,0,8,5D,F8,01,00,28,0C,84,00,
237664,000002F3,false,Rx,0,3,06,FC,F8,00,00,00,00,00,
239464,000000A8,false,Rx,0,8,88,E9,01,F0,01,F1,0F,02,
241398,000000A9,false,Rx,0,8,AC,19,D8,DF,3D,D8,0F,0C,
241534,000001A0,false,Rx,1,8,00,80,00,00,80,00,C8,6B,
242018,000000CE,false,Rx,1,8,00,00,00,00,00,00,00,00,
243408,000000AA,false,Rx,0,8,5E,F9,01,00,28,0C,84,00,
249456,000000A8,false,Rx,0,8,89,EA,01,F0,01,F1,0F,02,
